2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3314ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3314.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3314.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3314.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3314.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3314.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3314.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3314.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3315ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3315.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3315.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3315.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3315.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3315.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3315.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3315.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3316ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3316.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3316.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3316.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3316.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3316.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3316.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3316.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3317ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3317.1ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3317.2ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3317.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3317.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3317.7ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3318ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3318.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3319ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3319.5ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3319.8ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3320.3ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3320.6ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch24 | 3320.9ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch21 | 3321ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch22 | 3321.4ms,
2015-11-29 9:08:56::catalogm/::common/home::common/home | ch23 | 3321.6ms,
